control
([10, 'mae', 20, 50, True, 50], 0.019183378516573119)
([10, 'mae', 20, 50, False, 1], 0.00901170680662957)
([10, 'mae', 20, 50, False, 10], 0.00901170680662957)
([10, 'mae', 20, 50, False, 50], 0.014011996370374194)
([10, 'mae', None, 2, True, 1], 0.001364768637904343)
([10, 'mae', None, 2, True, 10], 0.0052681762769147223)
([10, 'mae', None, 2, True, 50], 0.018136743714987472)
([10, 'mae', None, 2, False, 1], 0.0012962185397087194)
([10, 'mae', None, 2, False, 10], 0.0057343129296145807)
([10, 'mae', None, 2, False, 50], 0.014011996370374194)
([10, 'mae', None, 10, True, 1], 0.002403962699626699)
([10, 'mae', None, 10, True, 10], 0.0049147785926639117)
([10, 'mae', None, 10, True, 50], 0.01916333629964679)
([10, 'mae', None, 10, False, 1], 0.0015273165409160753)
([10, 'mae', None, 10, False, 10], 0.0057343129296145807)
([10, 'mae', None, 10, False, 50], 0.014011996370374194)
([10, 'mae', None, 50, True, 1], 0.008262580092919438)
([10, 'mae', None, 50, True, 10], 0.0073336537496204481)
([10, 'mae', None, 50, True, 50], 0.019276424214632572)
([10, 'mae', None, 50, False, 1], 0.00901170680662957)
([10, 'mae', None, 50, False, 10], 0.00901170680662957)
([10, 'mae', None, 50, False, 50], 0.014011996370374194)
([50, 'mse', 10, 2, True, 1], 0.0014391392183279593)
([50, 'mse', 10, 2, True, 10], 0.0043338042933883762)
([50, 'mse', 10, 2, True, 50], 0.018475999478491753)
([50, 'mse', 10, 2, False, 1], 0.0013597294766346693)
([50, 'mse', 10, 2, False, 10], 0.0039426184871801549)
([50, 'mse', 10, 2, False, 50], 0.016197018806012733)
([50, 'mse', 10, 10, True, 1], 0.0016589767871950456)
([50, 'mse', 10, 10, True, 10], 0.0043278238705051859)
([50, 'mse', 10, 10, True, 50], 0.019023534573292651)
([50, 'mse', 10, 10, False, 1], 0.0017525542157445415)
([50, 'mse', 10, 10, False, 10], 0.0039426184871801575)
([50, 'mse', 10, 10, False, 50], 0.016197018806012736)
([50, 'mse', 10, 50, True, 1], 0.0087569585697246342)
([50, 'mse', 10, 50, True, 10], 0.0085086152898364315)
([50, 'mse', 10, 50, True, 50], 0.017255710866014375)
([50, 'mse', 10, 50, False, 1], 0.0092861244988657506)
([50, 'mse', 10, 50, False, 10], 0.0092526686504720082)
([50, 'mse', 10, 50, False, 50], 0.016197018806012736)
([50, 'mse', 20, 2, True, 1], 0.0014813851795266409)
([50, 'mse', 20, 2, True, 10], 0.0040570961228210186)
([50, 'mse', 20, 2, True, 50], 0.017600944565503047)
([50, 'mse', 20, 2, False, 1], 0.0012969251433879226)
([50, 'mse', 20, 2, False, 10], 0.0039426184871801549)
([50, 'mse', 20, 2, False, 50], 0.016197018806012743)
([50, 'mse', 20, 10, True, 1], 0.0016083859357081121)
([50, 'mse', 20, 10, True, 10], 0.0042285241587966139)
([50, 'mse', 20, 10, True, 50], 0.018008061308077462)
([50, 'mse', 20, 10, False, 1], 0.0017525542157445415)
([50, 'mse', 20, 10, False, 10], 0.0039426184871801549)
